foto,arquivo,sala,caixas,controles,periodos,classificacao,tipoDocumento,confiancaMedia,textoResumo
"IMG_8226","IMG_8226.jpg","Sala Instituto de Identificacao","103; 2023; 2015; 2006; 53; 96; 100","","2023; 2015; 2006","Protocolo","","0.884","INSTITUTO | TIPO DE | FOLHA DE FREQUÊNCIA | SETOR | IDENTIFICAÇÃO CRIMINAL | DOCUMENTO | TIPO DE | CLASSIFICAÇÃO | OFIcIOs | CAIXA N° | 103 | DOCUMENTO | PI | ANO: | BO | IDEA | 2023 | CAIXA N° | 2015 | ANO/ PERÍODO | PROTOCOLO DE | OBSERVAÇÃO | No | DIGITALIZAÇÃO | 2006 | 400A 699 | ANO/PERÍODO | SEM L | OBSERVAÇÃO: | Balyeart | ArqutvU | Protico | 10307 | pOLyCar! | e12ug1ojay | Referéncis | INSTITUTO TÉCNICO-CIENTÍFICO | DE PERICIA DO RIO GRANDE DO | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | NORTE | INSTITUTO/SETOR | INSTITUTO DE | NSTITUTO | WSTTUTODE IDENTIFICAÇAO | SETOR | CLASSIFICAÇÃO | IDENTIFICAÇÃO CRIMINAL | LOCALIZAÇÃO | 01.01.01.02 | PAPILOBCOPIK | ICA | PROTACOAODS | INSTITUTO TÉCNICO-CIENTÍFICO DE | CAIXA N° | 53 | INSTITUTO/SETOR | No | CLABSIPICAÇÃO | IDENTIFICAÇÃO CRIMINAL | DROn | oFicio | ANG I PERIODO | Mlycart | CAIXA N° | 96 | ANO / PERIODO | Mai. Jun. jul, 2OT9 | OBSERVACÃO | 66o | 100"
"IMG_8227","IMG_8227.jpg","A classificar","4; 5; 6; 1; 3; 2; 9; 8","150.000; 180.000; 290.000; 310.999; 311.000; 319.999; 320.000; 339.999","1973; 1976“B""; 1977"" A ""; 1977B""; 1972; 1975; 1976"" A ""; 1978B""","","","0.826","1973 | 0 | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO FIO GRANDE DO NORTE | PERICIA DO RIO GMANDE DO NORTE | NSTTVTOSEIDR | IwsTmVTO DE IgENTICAÇAo | INSTTTOSHBENtPICACÃO | osenTS.E DENTrcAGAo | ETOA | IASTit/To De eEITecAÇAo | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | CLAStFICAÇAO | DENTFICAÇAO CVL | IDENTUICAÇÃD CVs | OLAsSFIEAÇÃO | oEatrcacko-cvs | MICAÇAO | MENTrcAÇÃO CIVE | aETOR | wanm/To DE DENmnCAÇko | aMtS/0SOH | stiTVTo DE OENncAGkG | oUMENEo | N | LISTA DE OOWNTROLE | LAstrICAÇAG | LISTA De CONTROLE | riro DEENTO | UINTA DE CONTROLE | DOENo | LISTA GE CONTROLE | caÇAo | DENTICAÇÃo cNL | CLASSFCAÇAG | DENFICAÇkO OML | CAIXA N° | MEItA SIA DA IDENTIDADE | PRMERA YADA GENTOADE | MERA WA DA OENT | LNTA DE CONTROLE | soo MEto | LITA CE CONTWOLE | 4 | CAIXAN° | 5 | CAIXAN° | 6 | CAIXA N° | 1 | CAIXAN° | ACRA VIA DA IOENT | CAIXAN° | 3 | 4 | 2 | Ne | N° | 150.000/180.000 | N | 290.000/310.999 | 311.000/319.999 | 320.000/339.999 | N° | ANDIPERODO | 1976“B"" | 1977""A"" | ANOIPERIOCO | 1977B"" | 1972 | 250.000/269.999 | N0 | 270.000/289.999 | OISERVCkO | ANOIPERODO | ANOIPERIODO | 1973"
"IMG_8228","IMG_8228.jpg","Sala Instituto de Identificacao","23; 21; 22; 24; 19; 20; 27; 29","951.000; 959.999; 960.000; 000.000; 900.000; 930.000; 950.999; 830.000","1986; 1986""C""; 1986"" A ""; 1986""B""; 1986""D""; 1985""B""; 1985""C""; 1986""E'","","","0.855","INSTITUTO DE IDENTICAÇÃO an | 1986 | Referéncia | Referência | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTOISETOR | INSTITUTO DE IDENTIFICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | INSTTUTOSETOR NSTTUTO DE IDENTIFICAÇAO | CLASSIFICAÇÃO | IDENTIFICAÇÃG CIVIL | NSTmUTosETOR | INSTITUTO DE DENTPICAÇAO | NSTITUTOrtETOR | INSTITUTO DE IDENTWICAÇÃO | NSTTUTOsETOR | INSTITVTD DE IDENTIFICACÃO | CLASSFICAÇÃO | IDENTIPICAÇÃO CIVIL | CLASSFICAÇÃO | DOCDENTO | LISTA DE CONTROLE | IDENTIFICAÇAO CIVL | CLABMMFICAÇÃO | NSTITUTOSETOR | INSTITUTO DE IDENTIFICACÃO | CLASSIFICAÇÃO | IDENTIFICAÇÃO GIVL | DENTFICAÇÃO CIVL | CLASSIFICAÇÃO | IDENTFICAÇÃo CIVL | LISTA DE CONTROLE | TIPO DE | LISTA DE CONTROLE | PRIMEIRA VIA DA IDENTIDADE | LISTA DE CONTROLE | LISTADE CONTROLE | DOCUMENTO | PRIMEIRA VIA DE IDENTIDADE | CAIXA N° | 23 | CAIXA N° | PRMEIRA VIA DA IDENTIDADE | TIPODE | LISTA DE CONTROLE | PRMERA VIA DE IDENTIDADE | DOCUMENTO | RMEIRA VA DE DENTIDADE | PRMEIRAVIA DE IDENTIDADE | CAIXAN° | 21 | CAIXA N° | 22 | 24 | CAIXA N° | 19 | CAIXA N° | 20 | N° | N° | NO | 951.000/959.999 | 960.000/1.000.000 | No | N° | N° | 900.000/9299.999 | 930.000/950.999 | 830.000/849.999 | ANO/PERIODO"
"IMG_8229","IMG_8229.jpg","A classificar","42; 44; 46; 43; 45; 47; 53; 49","157.000; 157.999; 720.000; 730.999; 600.000; 649.999; 670.000; 699.999","1995; 1972; 1996; 1995""B""; 1996"" A ”; 1996""C""; 1996""E""; 1995C""","","","0.81","ONaNmmn | CAIXAN° | ITEP | ASGFICAÇAQ | PERTIA DO OGRANDE DONORTE | EIEK | INSIITUTO BEIDENIICACÁOD | ANO | 157.000/157.999 | RO | ICENTPICAÇAO CIVN | Z | 42 | 0 | 1995 | 1972 | 1996 | 中 | Referéncla | 0 | Referèncie | Rafarincia | Refaréecia | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | PEA DO RID GRANDE DO NORTE | TIUTGBETOR aGTITUTO DE CENTICACAO | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | PERICIA LO RIO GRANDE DO NORTE | nTUTOMTOR NSTTUTO DE IDrNTICAÇAO | CLABMIFICAÇAD | IDENTnCAÇÃo CI | TOSETOR NITTUTO DE IDENTFICAÇÃO | CLAsSIRICAÇÃo | EENTWICAÇAOCNL | INSTITUTO TÉCNICO-CIENTIFICO DE | aSTVTONETOR | AETITUTO CE IDENTICACAO | CLASSIPICAÇkO | CENTPICAÇÃD CVL | NSTTUT0sETOR | MTTVTO DE IDENTPCAÇiO | PERICIA DO RIO GRANDE DO NORTE | LSTADE CO | CLASSIFICAÇÃO | DENTWCACAO CVL | LuSTA DE CONTROLE | CLASSIFICAÇÃO | ENTIFICAÇÃO CNL | LISTA DE CONTROLE | TOsETOR | Nmm/O DE CENRCACiO | CAIXA N° | RAVIA DU | MDE | ooUETo | LISTA DE CONTRCLE | ooONENTo | LINTADE COATROLE | CAIXA N° | MERA VA DA DENTDADE | RMEIRA VA DA IDENTIDADE | CLASSIFICAÇÃO | 42 | eeNTncAciocva | IRA VADA ICEY | CAIXAN° | 44 | RIMEIRA VA DA IDENTCADE | 46 | CAIXAN° | PoDE | LISTA DE CONINOLE | N° | CAIXA N° | 43"
"IMG_8230","IMG_8230.jpg","A classificar","56; 55; 57; 54; 58; 59; 60; 61","000.000; 035.999; 036.000; 057.999; 258.000; 099.999; 970.000; 999.999","2030.; 1998""E""; 1998""D""; 1999; 1998“C""; 2000; 2.160.000/2.1999.999; 2001","","","0.849","Referéntia | 2030. | acia | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | PERÍCIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | TO TÉCNICO-CIENTÍFICO DE | INSTITUTOISETOR | NSTTUTO DE OENTFICAÇAO | INSTITUTO/SETOR | MSTITUTD DE IDENTIFRICAÇÃD | PERICIA DO RIO GRANDE DO NORTE | DO RIO GRANDE DO NORTE | CLASSIFICAÇÃO | INSTITUTO TÉCNICO-CIENTIFICO DE | INSTITUTO TÉCNICO-CIENTIFICO D | CLASSFICAÇÃO | CENTIRICAÇÃO CVL | IDENTFICAÇÃO CIVIL | INSTITUTO/SETOR | NSTITUTO DE IDENTFICAÇAO | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORT | mSTTutD DE CENTPCAÇAO | TIPO DE | LSTA DE CCNTROLE | TPODE | LIBTA DE CONTROLE | CLASSIFICAÇÃO | DOCUMENTO | IDENTPICAÇÃO CIVL | INSTITUTO/SETOR INSTITUTO DE DENTFICAÇAO | INSTITUTOISETOR | NSTTVTO DE IDENTUCAÇID | CENTPCACÃO CVL | DOGUMENTO | PRMEIRA VIA DE DENTDADE | MEILA VIA DA IDENTIDADE | TIPO DE | LISTA DE CONTROLE | CLASSIFICAÇÃO | DENTIFICAÇÃO CIVL | CLASSIFICAÇÁD | CAIXAN° | ADENTFICAÇÃO CIVL | LITA DE CONTROLE | CAIXA N° | 56 | DOCUMENTO | 55 | PRIWEIRA VIA DA DENTDADE | TIPO DE | LISTA DE CONTROLE | TIPO DE | DOCUMENTO | LIS7A DE CONTROLE | PRaERA VA DA CENTOADE | CAIXAN° | 57 | DOCUMENTO | No | PRMEIRA VIA DA IDENTIDADE | CAIXAN° | PRMERA VA DA IDENTDADE | 54 | NO | CAIXA N° | No | 58 | 59 | 2.000.000/2.035.999 | 2.036.000/2.057.999 | N° | NO | ANOIPERODO | 1998""E"" | 2.258.000/2.099.999 | N°"
"IMG_8231","IMG_8231.jpg","Sala Instituto de Identificacao","1; 2; 4; 3; 5; 6; 1966; 8","100.300; 102.303; 104.105; 105.106; 100.000; 101.999; 102.000; 103.999","1966; 1967; 1968; 1970; 1969","","","0.849","91.100.300 | 92 93 | 93.94 | 96.97 | Referência | Referência | Referaeia | Referincla | 5 | Referéncia | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | 窗 | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIPICO DE | wSTTUuTo De IDENmncACLo | INSTTUTOSETOR | INSTITUTO DE ICENTIFICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | IDENTFICAÇÃO cVIL | CLASSIFICAÇÃO | IDENTICAÇÃD CVL | NSTTVToETOR | NSTTTUTO DE IDENTInICAÇÃO | NSTITUTORETOR | NaTTUTO DE IDENTeICAÇÃo | PERICIA DO RIO GRANDE DO NORTE | CLASSIFICAÇÃO | DENTRICAÇko CNL | CLASSIPICAÇÃO | DENTFcAÇÃO CVL | TVTo4TOR | HaTTUTO DE IpENTIPICAÇÃO | MnVrOMTOn mSTETUTD.GESENTCACAO | DoOUDENEO | RONTUAROO DE DENTFICAÇÃO | oMENTo | DoSENT0 | CLASSIFICAÇÃO | DENTIncAÇko cL | CLAssurICAÇÃO | CENTrICAÇÃo cVE | CAIXAN° | 1 | CAIXA N° | 2 | CAIXAN° | toe INTo | CAIXA N° | 4 | WTUARO DE DENTVICAÇÃO | Do DEwto | 3 | N° | CAIXAN° | 5 | CAIXAN° | NP | N° | 6 | 90.200/90.999 | 91.000/91.999 | Ns | 1966 | 92.000/92.999 | 93.000/93.999 | No | N° | ANO/PERÍODO | ANOIPERIOCO | 1966 | ANOIPERIODO | 1966 | ANO/PERIODO | 1967"
"IMG_8232","IMG_8232.jpg","A classificar","23; 21; 22; 24; 30; 26; 27; 25","129.130; 129.000; 129.999; 126.000; 127.999; 130.000; 130.999; 128.000","1970; 1971","","","0.769","129.130 | referéncia | Referéncia | 128 | 8 | INSTITUTO TÉCNICO-CIENTIFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIPICO DE | PERÍCIA DO RIO GRANDE DO NORTE | dm/mDSETOR | wSTTUTO DE DENTFCACko | INSTITUTO TÉCNICO-CIENTIFICO DE | aSTm705ETOR | INSTTUTO DE IDENTIFICAÇAO | PERICIA DO RIO GRANDE DO NORTE | CLASSFICAÇÃO | PERÍCIA DO RIO GRANDE DO NORTE | CLASSIFICAÇÃD | CENhnCAÇÃo CML | NSTT/noSETOR EThuTO DE DOERcAÇAO | CENTFCACAO CVL | Tvro8Etoe | NsEmurgCEOENTcaÇko | CLASsrCAÇÃo | DENTFICAÇAD CN | DooOENTo | RONrakROO DE IDENT | nFICAÇÃO | CLASSIFCAÇÁO | RONTUAIO DE DENTPCAÇkO | DENTrICAÇAo CVs | OMENTO | RONTukRO DE DENmPCAÇAO | CAIXAN° | 23 | PRONTUAID DE DENTBEAÇAD | CAIXAN° | 21 | CAIXAN° | 22 | CAIXAN° | 24 | NP | N° | N° | 129.000/129.999 | 126.000/127.999 | AND/PERIODO | 1970 | 130.000/130.999 | h | ANDIPERODO | 128.000/128.999 | 1970 | ORAERVACIG: Ag | AND IPERIODO | ANO /PERUIODO | 1970 | OBSERNAçkG kg | C0 | arquivo | Replat | rquivo | Betreart | 24 | 338.1ce | 135.136 | 333.134 | 134.135 | 130.133 | 9.5o0 | Refertncia | 8 | 8 | 8 | 5 | NSTITUTO TÉCNICO-CIENTIFICO DE | INSTITUTO TÉCNICO-CIENTIFICO DE | INSTITUTO TÉCNICO-CIENTFICO DE"
"IMG_8234","IMG_8234.jpg","Sala Instituto de Identificacao","37; 38; 39; 40; 41; 1972; 45; 43","155.156; 956.157; 153.154; 151.000; 151.999; 152.000; 152.999; 153.000","1972; 1971","","","0.854","1531.152 | J52.153 | 155.156 | 956.157 | 153.154 | Referéncia | Referència | Roferdncla | 8 | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | 3 | NRRTVIDSMRORNETITUTODE IDENTECAÇAO | MTVTOMTOR mSTITVID DEIDENTFICAÇAO | PERICIA DO RIO GRANDE DO NORTE | PNS | CLAssrCAÇkO | DENTFCAÇko CNE | aImuTOISETOR | NETITVTO DE DENTrcAcko | UTorSETOR | NSTITUTo DEIDENTFICAÇkG | PERÍCIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | CLASSFICAÇÃO | DENTuCAÇÃo cVL | CLASMFCAÇÃO | IDENTFICAÇÃo CVL | BDGOLDENTO | ssiFICAÇÃo | IDENTFICAGÃO CVL | PRONTUARO DE IDENTncAÇkO | W5TVT0ETDR | NSTTUTD DE IDENTFCAGÃO | NTUARO DE IDENTFCAÇÃO | CLASSFICAÇÃO | CLASS | CAIXAN° | 37 | CAIXAN° | DENTFICAÇÃO CVL | Do0os | CAIXA N° | 38 | 39 | CAIXAN° | 40 | DOo DENTto | CAIX | C | N° | N° | N° | NO | CAIXA N° | 41 | 151.000/151.999 | 152.000/152.999 | 153.000/154.999 | 155.000/155.999 | ANOIPERIOGO | 1972 | No | AMO PERIODO | 1971 | ANOIPERIOCO | 1971 | ANO/PERÍODO | 1971 | 156.000/156.999 | COSERVAÇÃDA | DBSERVAÇÃD: Ag | ANDIPERiODO | 1972 | HOURV | raqlo"
"IMG_8235","IMG_8235.jpg","Sala Instituto de Identificacao","58; 55; 56; 57; 59; 54; 65; 64","171.000; 179.000; 180.999; 178.000; 178.999; 182.000; 182.999; 173.000","1972; 1973; 1974; 198199","","","0.823","1972 | 4 | 171.000/171.29 | N° | ANDIPERODO | Selyor! | CesUvClo yarta | Rolycart | glaptac | nabert | Balvcart | INSTTUTODEIDENTICACÃOn | 2.73 | 18.182182.183 | kelerincia: | Referéncia | Referência | Referência | Referéncla | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTiFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | PERÍCIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | PERÍICIA DO RIO GRANDE DO NORTE | NSTTUTO/SETOR | INSTITUTO DE IDENTFICAÇÃO | INSTTUTOSETOR | INSTITUTO DE IDENTIPICAÇÃO | INSTITUTO/SETOR | INSTITUTO DE IDENTICAÇAD | NSTITUTOsETOR INSTITUTO DE DENTVICAÇÃO | STTUTOsETOR | INSTITUTO DE DENmnCAÇÃO | TTUTD/SETOR | INETITUTO DE IDENTFICAÇÃO | CLASSIPICAÇÃO | IDENTIFICAÇÃO CIVIL | CLASSIFICAÇÃO | IDENTFICACÃO CML | CLASSIFICAÇÃO | DENTIFICAÇÃO CIVIL | CLI SSIFICAÇÃO | DENTFICAÇÁo CIVL | GLASSIFICAÇÃO | IDENTFICACÃo CVL | LSSIFICAÇÃO | IDENTIFICAÇÃO CIVL | TIPO DE | PRONTUÁRIO DE IDENTIFICAÇÃO | PRONTUARIO DE IDENTIPICACÃO | PRONTUARO DE IDENTFICAÇÃO | RONTUÁRID DE IDENTPICAÇÃO | DDCUMENTO | PRONTUARO DE IDENTFICAÇÁD | PRONTUARIO DE IDENTVFICAÇÃO | DOCUMENTO | CAIXAN° | CAIXAN° | CAIXA N° | 58 | CAIXAN° | 55 | CAIXA N° | 56 | 57 | 59 | CAIXA N° | 54 | N° | N° | N° | NO | NO"
"IMG_8236","IMG_8236.jpg","Sala Instituto de Identificacao","75; 76; 77; 197; 79; 80; 78; 81","201.202; 204.205; 201.000; 201.999; 203.000; 203.999; 204.000; 204.953","205016; 1973; 207208; 2082e8; 1974","","","0.851","201.202 | 2 | Reterència | 204.205 | Refurincia | 205016 | Pmdof | PERICIA DO RIO GRANDE DO NORTE | Referéncip | m/noserOR | NETITVTODE DENTACAÇAO | 8 | KeiensF o | SinCAÇAO | DENmrcAÇAo CVn | PERICIA DO RIO GRANDEDO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | 8 | NatmvnoMTOA | IXAN° | CLAstrCAÇÃO | NSTIVTO SE EENTRCACLG | PERICIA DO RIO GRANDE | INSTITUTO TÉCNICO-CIE | 72 | esy jDE | CENTrCAÇko cn | NITITVTOsETOg | STmvio osoy | 名 | 5TF | PERICIA DO RIO GRANDE DO NORTE | CCTuso DE RENTFCACLG | CAr | wSTTUTO | No | CAIXA N° | CLASSPICAÇÃo | IDENTrcAciocIn | TeoDENTo | CLASSIFIGAÇÁG | yToraETon | SEmUTD DE IDENTncAÇLO | 201.000/201.999 | 74 | TeeDEINTo | DENtrcacio-cNL | ANO / PERIODO | 1973 | CAIXA N° | ACA6 A | No | 75 | 203.000/203.999 | CAIXAN | 76 | CAIXAN° | ANOIPLRcOO | 204.000/204.953 | No | 77 | CeERVCÃO. k | 197 | ANIOIPERIOOO | 205.00020 | aSERVacAD: A | 1973 | 1206.999 | N | ANOIPERK DO | AH011ERonK | RayEart | 19 | Rtriart | Batyeart | Belyeart | Baycart | VDN | 2 | 207"
"IMG_8237","IMG_8237.jpg","Sala do IML","84; 85; 86; 87; 88; 89; 94; 95","212.233; 213.214; 214.215; 216.217; 212.500; 212.999; 213.000; 213.999","1974; 2002-20","","","0.823","HOLy88P! | 212.233 | 213.214 | 214.215 | 216.217 | 21721 | Referência | tEterina | elrênca | Referència | Referência | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO/SETOR | INSTTUTO DE IDENTIFICAÇÃO | INSTITUTOISETOR | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO/SETOR | NSTITUTO DE IDENTFICAÇAO | INSTITUTO DE IDENTFICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | CLASSIFICAÇÃO | CLASSIFICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | IDENTIFICAÇÃO CIVIL | CLASSIFICAÇÃO | IDENTPICAÇÃo CIVL | NSTITVTOSETOR | INSTITUTO DE IDENTIPICAÇÃO | NSTITUTOSET0R | PERICIA DO RIO GRANDE DO NORTE | TIPO DE | IDENTIFICAÇÃO CIVIL | CLASSIFICAÇÃO | DENTIcAÇko cML | NSTTVTO DE DENTICAÇÃO | DOCUMENTO | PRONTUARIO DE IDENTIFIC.AÇÃO | TIPO DE | PRONTUARO DE DENTICAÇÃO | CLASSFICAÇÃO | NSTITutOsETOR | DENTIFICAÇko CVL | CLASSIPCAÇkD | NITTVTO DE DENTrcAÇkO | CIML | DOCUMENTO | PRONTUARIO DE IDENTIFICAÇÃO | CAIXAN° | CIVIL | CAIXA N° | CIVIL | TIPODE | PRONTuARIO DE DENTFICAÇAO | TPO DE | DENtICAcko cIL | 84 | CAIXA N° | 85 | 86 | DOCUMENTO | CVL | DOCUMENTO | RONTUkRO DE CENTICAÇio | C | DOcuWENTo | TPODE | CAIXA N° | 87 | CAIXAN° | 88 | CAIXA N° | NO | NO"
"IMG_8238","IMG_8238.jpg","Sala Instituto de Identificacao","1974; 94; 95; 97; 98; 99; 100; 101","219.000; 219.999; 220.000; 220.999; 221.000; 221.999; 222.000; 223.999","1974; 2002-2013; 1975","","","0.796","219.000/219.999 | CAIXA N° | FICAÇÃO | DOCUMENTO | TIPO DE | FCAcloCVz | CLASSFICAÇÃO | aSTITUTO DEDONTIcAÇAO | NORTE | ANOIPERIODO | No | 93 | PRONTUARO DE DENTFICAÇÃO | OBSERVACAO: Aguardando restauracBO | 220.000/220.999 | CAIXA N° | CIVIL | TIPODE | DENTFICAÇÃo CVL | 1974 | DOCUMENTO | 94 | LISTA DE CONTROLE | ANOIPERIODO | 221.000/221.999 | No | OBSERVAÇAO:Aguardando restauração | CAIXAN° | PRMEIRA VIA DA IDENTOADE | 1974 | ANO/PERIODO | No | 95 | OBSERVAÇÃO: Aguardando restauraçlo | 222.000/223.999 | aalue-nt | 1974 | ANO/PERIODO | 224.000/224.499 | No | eyUaIT | OssER/ACAO Apuardande rnswacls | 1974 | Balyeart | OBSERVAC.O: Apwrdando reaturaçla | ANO/PERODO | 1974 | nEyeaPt | ayrapt | Roigeart | Rayeart | 224.225 | 225.226 | 226.227 | 224.227 | Reterêncla | 227228 | 228.229 | Referência | 19 | Referêncla | 国 | Eute: | Referinecia | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | 图 | PERICIA DO RIO GRANDE DO NORTE | INSTITUTOVSETOR | INSTITUTO DE IDENTIFICAÇÃO | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | CLASSIFICAÇÃO | INSTUTOSETOR INSTITUTO DE IDENTFICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE"
